文件名: ./emb_a70b60.npy, TC = 0.5709, TD = 0.6625
文件名: ./emb_a95b50.npy, TC = 0.5754, TD = 0.6826
文件名: ./emb_a10b75.npy, TC = 0.5751, TD = 0.5850
文件名: ./emb_a90b95.npy, TC = 0.5781, TD = 0.6773
文件名: ./emb_a30b90.npy, TC = 0.5557, TD = 0.6542
文件名: ./emb_a75b45.npy, TC = 0.5675, TD = 0.6833
文件名: ./emb_a15b55.npy, TC = 0.3940, TD = 1.0000
文件名: ./emb_a5b70.npy, TC = 0.5492, TD = 0.6100
文件名: ./emb_a35b25.npy, TC = 0.6056, TD = 0.6875
文件名: ./emb_a60b30.npy, TC = 0.5846, TD = 0.7292
文件名: ./emb_a50b40.npy, TC = 0.5746, TD = 0.7042
文件名: ./emb_a30b30.npy, TC = 0.5877, TD = 0.6714
文件名: ./emb_a90b15.npy, TC = 0.5178, TD = 0.7000
文件名: ./emb_a60b65.npy, TC = 0.5903, TD = 0.6889
文件名: ./emb_a70b90.npy, TC = 0.5775, TD = 0.6880
文件名: ./emb_a80b95.npy, TC = 0.5816, TD = 0.7000
文件名: ./emb_a45b75.npy, TC = 0.6009, TD = 0.6963
文件名: ./emb_a40b35.npy, TC = 0.3948, TD = 1.0000
文件名: ./emb_a20b40.npy, TC = 0.5846, TD = 0.6579
文件名: ./emb_a65b60.npy, TC = 0.5850, TD = 0.6778
文件名: ./emb_a10b25.npy, TC = 0.4517, TD = 0.7000
文件名: ./emb_a85b70.npy, TC = 0.5772, TD = 0.6826
文件名: ./emb_a20b25.npy, TC = 0.5959, TD = 0.6650
文件名: ./emb_a80b65.npy, TC = 0.5728, TD = 0.6792
文件名: ./emb_a55b55.npy, TC = 0.5916, TD = 0.6917
文件名: ./emb_a15b35.npy, TC = 0.3943, TD = 1.0000
文件名: ./emb_a70b40.npy, TC = 0.5957, TD = 0.6889
文件名: ./emb_a85b50.npy, TC = 0.5872, TD = 0.7043
文件名: ./emb_a85b75.npy, TC = 0.5769, TD = 0.6958
文件名: ./emb_a85b30.npy, TC = 0.5992, TD = 0.6958
文件名: ./emb_a30b5.npy, TC = 0.5972, TD = 0.6913
文件名: ./emb_a25b50.npy, TC = 0.3948, TD = 1.0000
文件名: ./emb_a50b55.npy, TC = 0.5992, TD = 0.7000
文件名: ./emb_a90b50.npy, TC = 0.5885, TD = 0.6917
文件名: ./emb_a35b15.npy, TC = 0.5993, TD = 0.6913
文件名: ./emb_a85b35.npy, TC = 0.4506, TD = 0.7000
文件名: ./emb_a20b70.npy, TC = 0.5780, TD = 0.6600
文件名: ./emb_a75b25.npy, TC = 0.5171, TD = 0.7000
文件名: ./emb_a90b80.npy, TC = 0.5803, TD = 0.7045
文件名: ./emb_a10b85.npy, TC = 0.5502, TD = 0.6346
文件名: ./emb_a95b20.npy, TC = 0.5598, TD = 0.6720
文件名: ./emb_a5b20.npy, TC = 0.3810, TD = 1.0000
文件名: ./emb_a20b60.npy, TC = 0.3940, TD = 1.0000
文件名: ./emb_a50b10.npy, TC = 0.6016, TD = 0.7308
文件名: ./emb_a35b5.npy, TC = 0.6028, TD = 0.7000
文件名: ./emb_a25b90.npy, TC = 0.5509, TD = 0.6238
文件名: ./emb_a40b70.npy, TC = 0.3942, TD = 1.0000
文件名: ./emb_a90b70.npy, TC = 0.5804, TD = 0.6783
文件名: ./emb_a10b15.npy, TC = 0.3934, TD = 1.0000
文件名: ./emb_a80b50.npy, TC = 0.5926, TD = 0.7192
文件名: ./emb_a50b45.npy, TC = 0.6022, TD = 0.7000
文件名: ./emb_a10b20.npy, TC = 0.4514, TD = 0.7000
文件名: ./emb_a30b10.npy, TC = 0.5860, TD = 0.6842
文件名: ./emb_a35b55.npy, TC = 0.6090, TD = 0.7087
文件名: ./emb_a75b95.npy, TC = 0.5667, TD = 0.6680
文件名: ./emb_a95b30.npy, TC = 0.5861, TD = 0.6750
文件名: ./emb_a10b30.npy, TC = 0.4521, TD = 0.7000
文件名: ./emb_a35b75.npy, TC = 0.3940, TD = 1.0000
文件名: ./emb_a50b5.npy, TC = 0.5984, TD = 0.7214
文件名: ./emb_a35b80.npy, TC = 0.5903, TD = 0.6480
