文件名: ./emb_a55b55.npy, TC = 0.5848, TD = 0.6792
文件名: ./emb_a15b35.npy, TC = 0.3703, TD = 1.0000
文件名: ./emb_a70b40.npy, TC = 0.5854, TD = 0.6741
文件名: ./emb_a85b50.npy, TC = 0.5764, TD = 0.6783
文件名: ./emb_a85b75.npy, TC = 0.5731, TD = 0.6833
文件名: ./emb_a85b30.npy, TC = 0.5908, TD = 0.6917
文件名: ./emb_a30b5.npy, TC = 0.5962, TD = 0.6652
文件名: ./emb_a25b50.npy, TC = 0.3701, TD = 1.0000
文件名: ./emb_a50b55.npy, TC = 0.5902, TD = 0.7000
文件名: ./emb_a90b50.npy, TC = 0.5836, TD = 0.6708
文件名: ./emb_a35b15.npy, TC = 0.6023, TD = 0.6913
文件名: ./emb_a85b35.npy, TC = 0.4400, TD = 0.7000
文件名: ./emb_a20b70.npy, TC = 0.5767, TD = 0.6450
文件名: ./emb_a75b25.npy, TC = 0.5105, TD = 0.6667
文件名: ./emb_a90b80.npy, TC = 0.5804, TD = 0.6864
文件名: ./emb_a10b85.npy, TC = 0.5346, TD = 0.5846
文件名: ./emb_a95b20.npy, TC = 0.5747, TD = 0.6800
文件名: ./emb_a5b20.npy, TC = 0.3704, TD = 1.0000
文件名: ./emb_a20b60.npy, TC = 0.3692, TD = 1.0000
文件名: ./emb_a50b10.npy, TC = 0.5910, TD = 0.7038
文件名: ./emb_a35b5.npy, TC = 0.6013, TD = 0.6800
文件名: ./emb_a25b90.npy, TC = 0.5252, TD = 0.5857
文件名: ./emb_a40b70.npy, TC = 0.3696, TD = 1.0000
文件名: ./emb_a90b70.npy, TC = 0.5775, TD = 0.6696
文件名: ./emb_a10b15.npy, TC = 0.3711, TD = 1.0000
文件名: ./emb_a80b50.npy, TC = 0.5951, TD = 0.7077
文件名: ./emb_a50b45.npy, TC = 0.5896, TD = 0.6917
文件名: ./emb_a10b20.npy, TC = 0.4410, TD = 0.7000
文件名: ./emb_a30b10.npy, TC = 0.5859, TD = 0.6842
文件名: ./emb_a35b55.npy, TC = 0.6003, TD = 0.7043
文件名: ./emb_a75b95.npy, TC = 0.5711, TD = 0.6840
文件名: ./emb_a95b30.npy, TC = 0.5828, TD = 0.6625
文件名: ./emb_a10b30.npy, TC = 0.4415, TD = 0.7000
文件名: ./emb_a35b75.npy, TC = 0.3694, TD = 1.0000
文件名: ./emb_a50b5.npy, TC = 0.5788, TD = 0.6929
文件名: ./emb_a35b80.npy, TC = 0.5891, TD = 0.6640
