文件名: ./emb_a45b35.npy, TC = 0.5978, TD = 0.7120
文件名: ./emb_a35b45.npy, TC = 0.5913, TD = 0.7000
文件名: ./emb_a65b75.npy, TC = 0.5795, TD = 0.6583
文件名: ./emb_a35b65.npy, TC = 0.6018, TD = 0.7261
文件名: ./emb_a85b25.npy, TC = 0.5907, TD = 0.6769
文件名: ./emb_a40b40.npy, TC = 0.5834, TD = 0.7000
文件名: ./emb_a50b90.npy, TC = 0.5703, TD = 0.6789
文件名: ./emb_a40b5.npy, TC = 0.6002, TD = 0.7000
文件名: ./emb_a5b75.npy, TC = 0.5246, TD = 0.5143
文件名: ./emb_a65b55.npy, TC = 0.5773, TD = 0.6750
文件名: ./emb_a30b60.npy, TC = 0.5812, TD = 0.7182
文件名: ./emb_a20b85.npy, TC = 0.5678, TD = 0.6308
文件名: ./emb_a25b45.npy, TC = 0.3372, TD = 1.0000
文件名: ./emb_a50b50.npy, TC = 0.5835, TD = 0.7043
文件名: ./emb_a45b40.npy, TC = 0.5898, TD = 0.7250
文件名: ./emb_a25b65.npy, TC = 0.5770, TD = 0.6840
文件名: ./emb_a55b80.npy, TC = 0.5913, TD = 0.7040
文件名: ./emb_a45b55.npy, TC = 0.5878, TD = 0.7095
文件名: ./emb_a95b25.npy, TC = 0.5711, TD = 0.6593
文件名: ./emb_a70b60.npy, TC = 0.5640, TD = 0.6500
文件名: ./emb_a95b50.npy, TC = 0.5769, TD = 0.6783
文件名: ./emb_a10b75.npy, TC = 0.5357, TD = 0.5500
文件名: ./emb_a90b95.npy, TC = 0.5772, TD = 0.6773
文件名: ./emb_a30b90.npy, TC = 0.5375, TD = 0.6208
文件名: ./emb_a75b45.npy, TC = 0.5633, TD = 0.6750
文件名: ./emb_a15b55.npy, TC = 0.3376, TD = 1.0000
文件名: ./emb_a5b70.npy, TC = 0.5306, TD = 0.5850
文件名: ./emb_a35b25.npy, TC = 0.5948, TD = 0.6583
文件名: ./emb_a60b30.npy, TC = 0.5778, TD = 0.7042
文件名: ./emb_a50b40.npy, TC = 0.5604, TD = 0.6750
文件名: ./emb_a30b30.npy, TC = 0.5767, TD = 0.6524
文件名: ./emb_a90b15.npy, TC = 0.5282, TD = 0.7000
文件名: ./emb_a60b65.npy, TC = 0.5732, TD = 0.6667
文件名: ./emb_a70b90.npy, TC = 0.5680, TD = 0.6680
文件名: ./emb_a80b95.npy, TC = 0.5704, TD = 0.6783
文件名: ./emb_a45b75.npy, TC = 0.5903, TD = 0.6815
文件名: ./emb_a40b35.npy, TC = 0.3374, TD = 1.0000
文件名: ./emb_a20b40.npy, TC = 0.5744, TD = 0.6421
文件名: ./emb_a65b60.npy, TC = 0.5683, TD = 0.6519
文件名: ./emb_a10b25.npy, TC = 0.4373, TD = 0.7000
文件名: ./emb_a85b70.npy, TC = 0.5715, TD = 0.6522
文件名: ./emb_a20b25.npy, TC = 0.5854, TD = 0.6500
文件名: ./emb_a80b65.npy, TC = 0.5762, TD = 0.6792
文件名: ./emb_a55b55.npy, TC = 0.5839, TD = 0.6792
文件名: ./emb_a15b35.npy, TC = 0.3370, TD = 1.0000
文件名: ./emb_a70b40.npy, TC = 0.5789, TD = 0.6778
文件名: ./emb_a85b50.npy, TC = 0.5765, TD = 0.6696
文件名: ./emb_a85b75.npy, TC = 0.5707, TD = 0.6792
文件名: ./emb_a85b30.npy, TC = 0.5891, TD = 0.6750
文件名: ./emb_a30b5.npy, TC = 0.5825, TD = 0.6783
