文件名: ./emb_a90b20.npy, TC = 0.5138, TD = 0.5524
文件名: ./emb_a90b25.npy, TC = 0.5150, TD = 0.5381
文件名: ./emb_a90b55.npy, TC = 0.5156, TD = 0.5273
文件名: ./emb_a60b5.npy, TC = 0.4792, TD = 0.5125
文件名: ./emb_a65b15.npy, TC = 0.5020, TD = 0.4842
文件名: ./emb_a70b95.npy, TC = 0.5400, TD = 0.5700
文件名: ./emb_a30b80.npy, TC = 0.5364, TD = 0.6000
文件名: ./emb_a95b35.npy, TC = 0.5059, TD = 0.5227
文件名: ./emb_a25b5.npy, TC = 0.4507, TD = 0.7000
文件名: ./emb_a45b70.npy, TC = 0.5574, TD = 0.6143
文件名: ./emb_a40b25.npy, TC = 0.5192, TD = 0.5667
文件名: ./emb_a5b45.npy, TC = 0.5070, TD = 0.5278
文件名: ./emb_a25b10.npy, TC = 0.4519, TD = 0.7000
文件名: ./emb_a95b80.npy, TC = 0.5236, TD = 0.5227
文件名: ./emb_a15b85.npy, TC = 0.5250, TD = 0.5586
文件名: ./emb_a15b95.npy, TC = 0.5094, TD = 0.5773
文件名: ./emb_a20b45.npy, TC = 0.5323, TD = 0.6000
文件名: ./emb_a70b55.npy, TC = 0.5089, TD = 0.5000
文件名: ./emb_a95b85.npy, TC = 0.5170, TD = 0.5333
文件名: ./emb_a60b60.npy, TC = 0.5210, TD = 0.5471
文件名: ./emb_a45b90.npy, TC = 0.5331, TD = 0.5750
文件名: ./emb_a90b75.npy, TC = 0.5080, TD = 0.4778
文件名: ./emb_a25b75.npy, TC = 0.5445, TD = 0.6190
文件名: ./emb_a85b45.npy, TC = 0.5243, TD = 0.5316
文件名: ./emb_a70b10.npy, TC = 0.5105, TD = 0.5211
文件名: ./emb_a80b5.npy, TC = 0.5194, TD = 0.5500
文件名: ./emb_a80b40.npy, TC = 0.5211, TD = 0.5273
文件名: ./emb_a65b95.npy, TC = 0.5054, TD = 0.5687
文件名: ./emb_a85b85.npy, TC = 0.5213, TD = 0.5500
文件名: ./emb_a40b95.npy, TC = 0.5286, TD = 0.5714
文件名: ./emb_a60b95.npy, TC = 0.5367, TD = 0.6312
文件名: ./emb_a65b35.npy, TC = 0.5110, TD = 0.5200
文件名: ./emb_a80b15.npy, TC = 0.4951, TD = 0.9000
文件名: ./emb_a90b40.npy, TC = 0.5312, TD = 0.6308
文件名: ./emb_a30b95.npy, TC = 0.5297, TD = 0.5600
文件名: ./emb_a50b30.npy, TC = 0.5117, TD = 0.5235
文件名: ./emb_a5b65.npy, TC = 0.5271, TD = 0.5875
文件名: ./emb_a30b55.npy, TC = 0.5519, TD = 0.5882
文件名: ./emb_a75b80.npy, TC = 0.5176, TD = 0.5647
文件名: ./emb_a35b95.npy, TC = 0.5157, TD = 0.5286
文件名: ./emb_a15b65.npy, TC = 0.5215, TD = 0.6231
文件名: ./emb_a25b35.npy, TC = 0.4509, TD = 0.7000
文件名: ./emb_a5b80.npy, TC = 0.3810, TD = 1.0000
文件名: ./emb_a15b75.npy, TC = 0.5164, TD = 0.5412
文件名: ./emb_a15b25.npy, TC = 0.5029, TD = 0.5000
文件名: ./emb_a90b45.npy, TC = 0.5170, TD = 0.5292
文件名: ./emb_a65b50.npy, TC = 0.5206, TD = 0.5222
文件名: ./emb_a50b20.npy, TC = 0.4275, TD = 1.0000
文件名: ./emb_a50b25.npy, TC = 0.4960, TD = 0.5500
文件名: ./emb_a20b20.npy, TC = 0.4522, TD = 0.7000
文件名: ./emb_a30b65.npy, TC = 0.5429, TD = 0.6125
文件名: ./emb_a20b5.npy, TC = 0.5337, TD = 0.5500
文件名: ./emb_a30b25.npy, TC = 0.4498, TD = 0.7500
文件名: ./emb_a85b20.npy, TC = 0.5300, TD = 0.5654
文件名: ./emb_a35b60.npy, TC = 0.5540, TD = 0.6176
文件名: ./emb_a5b15.npy, TC = 0.4815, TD = 0.4571
文件名: ./emb_a60b25.npy, TC = 0.4928, TD = 0.5167
文件名: ./emb_a60b10.npy, TC = 0.5001, TD = 0.5000
文件名: ./emb_a60b35.npy, TC = 0.5057, TD = 0.5556
文件名: ./emb_a20b55.npy, TC = 0.5119, TD = 0.6077
文件名: ./emb_a45b95.npy, TC = 0.5557, TD = 0.5778
文件名: ./emb_a35b85.npy, TC = 0.5438, TD = 0.6042
文件名: ./emb_a90b85.npy, TC = 0.5125, TD = 0.5348
文件名: ./emb_a95b10.npy, TC = 0.5173, TD = 0.5409
文件名: ./emb_a65b80.npy, TC = 0.5288, TD = 0.5789
文件名: ./emb_a30b40.npy, TC = 0.5362, TD = 0.6000
文件名: ./emb_a55b5.npy, TC = 0.5301, TD = 0.5850
文件名: ./emb_a35b35.npy, TC = 0.5161, TD = 0.5875
文件名: ./emb_a45b80.npy, TC = 0.5532, TD = 0.6556
文件名: ./emb_a15b15.npy, TC = 0.5071, TD = 0.5167
文件名: ./emb_a45b35.npy, TC = 0.5160, TD = 0.5687
文件名: ./emb_a35b45.npy, TC = 0.5389, TD = 0.6053
文件名: ./emb_a65b75.npy, TC = 0.5358, TD = 0.5889
文件名: ./emb_a35b65.npy, TC = 0.5386, TD = 0.5824
文件名: ./emb_a85b25.npy, TC = 0.5080, TD = 0.5273
文件名: ./emb_a40b40.npy, TC = 0.5377, TD = 0.5882
文件名: ./emb_a50b90.npy, TC = 0.4556, TD = 0.7500
文件名: ./emb_a40b5.npy, TC = 0.5120, TD = 0.5333
文件名: ./emb_a5b75.npy, TC = 0.3810, TD = 1.0000
文件名: ./emb_a65b55.npy, TC = 0.5211, TD = 0.5368
文件名: ./emb_a30b60.npy, TC = 0.5710, TD = 0.6733
文件名: ./emb_a20b85.npy, TC = 0.5368, TD = 0.5667
文件名: ./emb_a25b45.npy, TC = 0.5522, TD = 0.5800
文件名: ./emb_a50b50.npy, TC = 0.5071, TD = 0.5647
文件名: ./emb_a45b40.npy, TC = 0.5086, TD = 0.6182
文件名: ./emb_a25b65.npy, TC = 0.5439, TD = 0.6312
文件名: ./emb_a55b80.npy, TC = 0.5476, TD = 0.6211
文件名: ./emb_a45b55.npy, TC = 0.5484, TD = 0.6167
文件名: ./emb_a95b25.npy, TC = 0.5084, TD = 0.5208
文件名: ./emb_a70b60.npy, TC = 0.5480, TD = 0.5944
文件名: ./emb_a95b50.npy, TC = 0.5240, TD = 0.5250
文件名: ./emb_a10b75.npy, TC = 0.3810, TD = 1.0000
文件名: ./emb_a90b95.npy, TC = 0.5109, TD = 0.5000
文件名: ./emb_a30b90.npy, TC = 0.5014, TD = 0.5409
文件名: ./emb_a75b45.npy, TC = 0.5319, TD = 0.5450
文件名: ./emb_a15b55.npy, TC = 0.5487, TD = 0.5929
