文件名: ./emb_a85b85.npy, TC = 0.5847, TD = 0.6696
文件名: ./emb_a40b95.npy, TC = 0.5781, TD = 0.6909
文件名: ./emb_a60b95.npy, TC = 0.5649, TD = 0.6864
文件名: ./emb_a65b35.npy, TC = 0.5797, TD = 0.6960
文件名: ./emb_a80b15.npy, TC = 0.5753, TD = 0.6542
文件名: ./emb_a90b40.npy, TC = 0.5848, TD = 0.6808
文件名: ./emb_a30b95.npy, TC = 0.5809, TD = 0.6500
文件名: ./emb_a50b30.npy, TC = 0.5845, TD = 0.6840
文件名: ./emb_a5b65.npy, TC = 0.5185, TD = 0.6364
文件名: ./emb_a30b55.npy, TC = 0.5657, TD = 0.6625
文件名: ./emb_a75b80.npy, TC = 0.5706, TD = 0.6680
文件名: ./emb_a35b95.npy, TC = 0.5611, TD = 0.7143
文件名: ./emb_a15b65.npy, TC = 0.5600, TD = 0.6500
文件名: ./emb_a25b35.npy, TC = 0.5719, TD = 0.6833
文件名: ./emb_a5b80.npy, TC = 0.5154, TD = 0.5783
文件名: ./emb_a15b75.npy, TC = 0.5654, TD = 0.6500
文件名: ./emb_a15b25.npy, TC = 0.5829, TD = 0.6722
文件名: ./emb_a90b45.npy, TC = 0.5773, TD = 0.6625
文件名: ./emb_a65b50.npy, TC = 0.5771, TD = 0.7000
文件名: ./emb_a50b20.npy, TC = 0.5855, TD = 0.7000
文件名: ./emb_a50b25.npy, TC = 0.5663, TD = 0.6750
文件名: ./emb_a20b20.npy, TC = 0.5716, TD = 0.6778
文件名: ./emb_a30b65.npy, TC = 0.5742, TD = 0.6640
文件名: ./emb_a20b5.npy, TC = 0.4494, TD = 0.7000
文件名: ./emb_a30b25.npy, TC = 0.5781, TD = 0.7083
文件名: ./emb_a85b20.npy, TC = 0.5804, TD = 0.6750
文件名: ./emb_a35b60.npy, TC = 0.5775, TD = 0.6652
文件名: ./emb_a5b15.npy, TC = 0.4947, TD = 0.4933
文件名: ./emb_a60b25.npy, TC = 0.5768, TD = 0.6625
文件名: ./emb_a60b10.npy, TC = 0.5660, TD = 0.7000
文件名: ./emb_a60b35.npy, TC = 0.5705, TD = 0.6783
文件名: ./emb_a20b55.npy, TC = 0.5586, TD = 0.6850
文件名: ./emb_a45b95.npy, TC = 0.5915, TD = 0.6960
文件名: ./emb_a35b85.npy, TC = 0.5683, TD = 0.6800
文件名: ./emb_a90b85.npy, TC = 0.5781, TD = 0.6808
文件名: ./emb_a95b10.npy, TC = 0.5803, TD = 0.6840
文件名: ./emb_a65b80.npy, TC = 0.5783, TD = 0.6857
文件名: ./emb_a30b40.npy, TC = 0.4503, TD = 0.7000
文件名: ./emb_a55b5.npy, TC = 0.5916, TD = 0.7000
文件名: ./emb_a35b35.npy, TC = 0.5833, TD = 0.6920
文件名: ./emb_a45b80.npy, TC = 0.5618, TD = 0.6741
文件名: ./emb_a15b15.npy, TC = 0.5889, TD = 0.6556
文件名: ./emb_a45b35.npy, TC = 0.5825, TD = 0.6739
文件名: ./emb_a35b45.npy, TC = 0.5630, TD = 0.6800
文件名: ./emb_a65b75.npy, TC = 0.5719, TD = 0.6609
文件名: ./emb_a35b65.npy, TC = 0.5673, TD = 0.6480
文件名: ./emb_a85b25.npy, TC = 0.5687, TD = 0.6545
文件名: ./emb_a40b40.npy, TC = 0.5745, TD = 0.6750
文件名: ./emb_a50b90.npy, TC = 0.5727, TD = 0.6609
文件名: ./emb_a40b5.npy, TC = 0.5718, TD = 0.6783
文件名: ./emb_a5b75.npy, TC = 0.5354, TD = 0.5591
文件名: ./emb_a65b55.npy, TC = 0.5640, TD = 0.6636
文件名: ./emb_a30b60.npy, TC = 0.5712, TD = 0.6920
文件名: ./emb_a20b85.npy, TC = 0.5568, TD = 0.6524
文件名: ./emb_a25b45.npy, TC = 0.5758, TD = 0.6875
文件名: ./emb_a50b50.npy, TC = 0.5710, TD = 0.6708
文件名: ./emb_a45b40.npy, TC = 0.5713, TD = 0.6917
文件名: ./emb_a25b65.npy, TC = 0.5762, TD = 0.7091
文件名: ./emb_a55b80.npy, TC = 0.5711, TD = 0.6952
文件名: ./emb_a45b55.npy, TC = 0.5798, TD = 0.6741
文件名: ./emb_a95b25.npy, TC = 0.5643, TD = 0.6652
文件名: ./emb_a70b60.npy, TC = 0.5525, TD = 0.6680
文件名: ./emb_a95b50.npy, TC = 0.5866, TD = 0.6750
文件名: ./emb_a10b75.npy, TC = 0.5446, TD = 0.5571
文件名: ./emb_a90b95.npy, TC = 0.5871, TD = 0.6923
文件名: ./emb_a30b90.npy, TC = 0.5868, TD = 0.6955
文件名: ./emb_a75b45.npy, TC = 0.5719, TD = 0.6577
文件名: ./emb_a15b55.npy, TC = 0.5694, TD = 0.6850
文件名: ./emb_a5b70.npy, TC = 0.4949, TD = 0.5923
