文件名: ./emb_a80b95.npy, TC = 0.5820, TD = 0.6958
文件名: ./emb_a45b75.npy, TC = 0.5953, TD = 0.6857
文件名: ./emb_a40b35.npy, TC = 0.5751, TD = 0.6696
文件名: ./emb_a20b40.npy, TC = 0.5777, TD = 0.6773
文件名: ./emb_a65b60.npy, TC = 0.5689, TD = 0.6750
文件名: ./emb_a10b25.npy, TC = 0.5260, TD = 0.7333
文件名: ./emb_a85b70.npy, TC = 0.5785, TD = 0.6960
文件名: ./emb_a20b25.npy, TC = 0.5954, TD = 0.7048
文件名: ./emb_a80b65.npy, TC = 0.5712, TD = 0.7000
文件名: ./emb_a55b55.npy, TC = 0.5723, TD = 0.6640
文件名: ./emb_a15b35.npy, TC = 0.5501, TD = 0.7000
文件名: ./emb_a70b40.npy, TC = 0.5735, TD = 0.6640
文件名: ./emb_a85b50.npy, TC = 0.5751, TD = 0.6769
文件名: ./emb_a85b75.npy, TC = 0.5929, TD = 0.6963
文件名: ./emb_a85b30.npy, TC = 0.5795, TD = 0.6520
文件名: ./emb_a30b5.npy, TC = 0.5781, TD = 0.6958
文件名: ./emb_a25b50.npy, TC = 0.5694, TD = 0.7045
文件名: ./emb_a50b55.npy, TC = 0.5793, TD = 0.6826
文件名: ./emb_a90b50.npy, TC = 0.5822, TD = 0.6708
文件名: ./emb_a35b15.npy, TC = 0.5891, TD = 0.6852
文件名: ./emb_a85b35.npy, TC = 0.5743, TD = 0.6792
文件名: ./emb_a20b70.npy, TC = 0.5882, TD = 0.7227
文件名: ./emb_a75b25.npy, TC = 0.5810, TD = 0.7083
文件名: ./emb_a90b80.npy, TC = 0.5814, TD = 0.6958
文件名: ./emb_a10b85.npy, TC = 0.5453, TD = 0.5913
文件名: ./emb_a95b20.npy, TC = 0.5926, TD = 0.7043
文件名: ./emb_a5b20.npy, TC = 0.5147, TD = 0.5385
文件名: ./emb_a20b60.npy, TC = 0.5901, TD = 0.7091
文件名: ./emb_a50b10.npy, TC = 0.5833, TD = 0.6864
文件名: ./emb_a35b5.npy, TC = 0.5775, TD = 0.6583
文件名: ./emb_a25b90.npy, TC = 0.5882, TD = 0.6810
