文件名: ./emb_a40b35.npy, TC = 0.5689, TD = 0.6609
文件名: ./emb_a20b40.npy, TC = 0.5588, TD = 0.6955
文件名: ./emb_a65b60.npy, TC = 0.5624, TD = 0.6917
文件名: ./emb_a10b25.npy, TC = 0.5142, TD = 0.7000
文件名: ./emb_a85b70.npy, TC = 0.5663, TD = 0.7000
文件名: ./emb_a20b25.npy, TC = 0.5722, TD = 0.6905
文件名: ./emb_a80b65.npy, TC = 0.5769, TD = 0.6955
文件名: ./emb_a55b55.npy, TC = 0.5554, TD = 0.6560
文件名: ./emb_a15b35.npy, TC = 0.5132, TD = 0.7000
文件名: ./emb_a70b40.npy, TC = 0.5632, TD = 0.6720
文件名: ./emb_a85b50.npy, TC = 0.5797, TD = 0.6654
文件名: ./emb_a85b75.npy, TC = 0.5835, TD = 0.6778
文件名: ./emb_a85b30.npy, TC = 0.5766, TD = 0.6640
文件名: ./emb_a30b5.npy, TC = 0.5559, TD = 0.6833
文件名: ./emb_a25b50.npy, TC = 0.5526, TD = 0.6909
文件名: ./emb_a50b55.npy, TC = 0.5601, TD = 0.6652
文件名: ./emb_a90b50.npy, TC = 0.5733, TD = 0.6542
文件名: ./emb_a35b15.npy, TC = 0.5681, TD = 0.6741
文件名: ./emb_a85b35.npy, TC = 0.5775, TD = 0.6625
文件名: ./emb_a20b70.npy, TC = 0.5771, TD = 0.7318
文件名: ./emb_a75b25.npy, TC = 0.5780, TD = 0.6917
文件名: ./emb_a90b80.npy, TC = 0.5721, TD = 0.6750
文件名: ./emb_a10b85.npy, TC = 0.5130, TD = 0.5478
文件名: ./emb_a95b20.npy, TC = 0.5750, TD = 0.6652
文件名: ./emb_a5b20.npy, TC = 0.4730, TD = 0.5077
文件名: ./emb_a20b60.npy, TC = 0.5813, TD = 0.7182
文件名: ./emb_a50b10.npy, TC = 0.5713, TD = 0.6682
文件名: ./emb_a35b5.npy, TC = 0.5653, TD = 0.6417
文件名: ./emb_a25b90.npy, TC = 0.5571, TD = 0.6429
文件名: ./emb_a40b70.npy, TC = 0.5668, TD = 0.6480
